ae_image_path,light_environment,confidence_vector
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01644900\ILSVRC2012_val_00036942.JPEG,l1,"[1.0000000e+00 2.3219558e-04 2.7413131e-04 2.0789683e-03 4.3759486e-01
 3.8411044e-02 7.8975223e-04 1.3263066e-03 4.0885839e-03 8.3514971e-01
 2.2042668e-01 2.5223821e-04 1.3104033e-03 1.5254782e-02 1.9728646e-01
 8.4574462e-04 9.0862362e-04 8.5398922e-04 5.5840503e-02 2.4949718e-01
 6.2076771e-04 8.0156286e-04 8.0950081e-04 6.4050250e-02 9.2676206e-04
 8.0035720e-04 1.0038504e-03]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01644900\ILSVRC2012_val_00041919.JPEG,l1,"[0.9394117  0.04891605 0.03539224 0.14874265 0.20549247 0.01866643
 0.11519147 0.16511382 0.18194722 0.9603461  1.         0.05835294
 0.13610557 0.331603   0.26574406 0.11192968 0.12383309 0.08384637
 0.17937945 0.9885224  0.08181502 0.12561055 0.2989062  0.03415718
 0.11950697 0.11877889 0.10211178]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01698640\ILSVRC2012_val_00004402.JPEG,l1,"[0.46220085 0.8322588  0.00971996 0.5199141  0.17577364 0.30266997
 0.01687722 0.03191671 0.15694036 0.40999895 0.3029122  0.04947617
 0.04185401 1.         0.09419705 0.01656502 0.01475226 0.06537537
 0.79209816 0.42738345 0.37721068 0.01630133 0.0367103  0.10970977
 0.01603987 0.01717375 0.0176726 ]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01698640\ILSVRC2012_val_00009083.JPEG,l1,"[0.7003463  0.16450426 0.0338697  0.24178277 0.4000161  0.08919646
 0.05765466 0.05807759 0.08156107 1.         0.5667823  0.07527769
 0.05941252 0.48770317 0.1352694  0.05559748 0.05421253 0.07417168
 0.547481   0.1983361  0.02958246 0.05741496 0.08788641 0.27275202
 0.05615665 0.05378421 0.06124153]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01698640\ILSVRC2012_val_00037268.JPEG,l1,"[1.         0.5800037  0.03413452 0.8824749  0.70481    0.17325398
 0.04800083 0.08917826 0.37418425 0.63986677 0.10819714 0.05585839
 0.1395953  0.71913004 0.33444738 0.05530823 0.05481895 0.10429209
 0.9647471  0.17226137 0.38046032 0.05441573 0.14224136 0.3019059
 0.05778957 0.04898209 0.05589676]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01698640\ILSVRC2012_val_00038620.JPEG,l1,"[0.40347743 0.3561056  0.04293318 0.6325478  0.44999525 0.14188029
 0.06632782 0.09424207 0.22349308 0.5391179  0.8470954  0.05134012
 0.0812456  1.         0.3255613  0.06317391 0.07244521 0.07273597
 0.9225089  0.37202206 0.143753   0.06966773 0.15841377 0.24390113
 0.07227512 0.06437413 0.04871105]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01698640\ILSVRC2012_val_00047405.JPEG,l1,"[1.         0.01032497 0.00759691 0.08723281 0.5477262  0.0390919
 0.01132916 0.01799578 0.02806654 0.3746554  0.29099712 0.00759691
 0.01609011 0.20518157 0.2433465  0.01126757 0.01352451 0.01216628
 0.1727846  0.88475174 0.00810585 0.0123865  0.01909351 0.0680083
 0.01278664 0.01172361 0.01222316]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01742172\ILSVRC2012_val_00018456.JPEG,l1,"[7.1150577e-01 9.2324219e-04 6.5912510e-04 5.9549399e-03 3.8727111e-01
 2.3802037e-03 9.5489761e-04 1.4518115e-03 6.1331020e-04 1.0000000e+00
 1.6681559e-02 9.7018766e-04 2.2281562e-03 1.3387356e-02 1.2628791e-01
 8.6369732e-04 9.5573399e-04 7.6254335e-04 2.9008893e-02 7.0198429e-01
 1.9865111e-03 8.9836074e-04 1.7751374e-03 1.0314429e-02 9.2210068e-04
 8.9509977e-04 1.1881551e-03]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01742172\ILSVRC2012_val_00018907.JPEG,l1,"[1.         0.00221739 0.00204995 0.02985473 0.04270002 0.01875064
 0.00283826 0.00446098 0.01315262 0.13841964 0.6743823  0.00217545
 0.00488086 0.00831377 0.1286123  0.00259747 0.00278541 0.00601202
 0.02961429 0.04918992 0.00234839 0.00273439 0.00893684 0.01555272
 0.00273399 0.00256843 0.0026017 ]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01742172\ILSVRC2012_val_00031749.JPEG,l1,"[4.9396303e-01 7.0744972e-03 4.7074817e-03 1.7353375e-02 1.8707167e-01
 1.5494350e-03 6.2965783e-03 1.0895990e-02 5.1963335e-04 6.3817620e-01
 2.4831124e-01 2.7312730e-03 1.1366963e-02 3.7498709e-02 1.8030966e-03
 6.2464625e-03 7.1252864e-03 6.3487203e-03 8.7751616e-03 1.0000000e+00
 1.6582520e-03 6.7105461e-03 1.3133196e-02 7.3130485e-03 6.3868370e-03
 6.4594001e-03 7.5604375e-03]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01768244\ILSVRC2012_val_00021025.JPEG,l1,"[1.         0.0110567  0.015901   0.06316188 0.5028178  0.00776709
 0.02588301 0.07370912 0.07999375 0.9043343  0.36784643 0.01595691
 0.05340419 0.07358529 0.17268714 0.02634938 0.0287183  0.14000297
 0.2039068  0.22859047 0.00443361 0.02827724 0.06630192 0.08184066
 0.02355291 0.02354372 0.08791679]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01768244\ILSVRC2012_val_00035606.JPEG,l1,"[1.         0.00444435 0.01551361 0.04746239 0.17462094 0.04722777
 0.02473013 0.0290353  0.17250675 0.27868068 0.09276022 0.0059288
 0.02825122 0.10735561 0.06019063 0.02607478 0.02869569 0.08693586
 0.05154034 0.2551809  0.01548179 0.02760778 0.0245691  0.19232506
 0.02351278 0.02555723 0.06898186]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01768244\ILSVRC2012_val_00040047.JPEG,l1,"[0.8758012  0.0061198  0.00237868 0.01716031 0.5369727  0.02909544
 0.00415656 0.00788858 0.00754965 0.35458836 0.35192508 0.00352949
 0.00684906 0.01522151 0.00768819 0.00405873 0.00474794 0.00725303
 0.0279744  1.         0.0051263  0.00456513 0.00734952 0.02618621
 0.0036994  0.00434554 0.01031162]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01770393\ILSVRC2012_val_00001887.JPEG,l1,"[0.53009015 0.22221796 0.00386787 0.14498386 0.7999653  0.65511173
 0.01178568 0.00913552 0.02406303 0.20664151 0.10048988 0.00663257
 0.00976241 0.42984655 1.         0.01287974 0.01225353 0.00428124
 0.6074371  0.14013237 0.7669122  0.01261905 0.00740036 0.16730843
 0.01374292 0.0118463  0.01131858]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01770393\ILSVRC2012_val_00005821.JPEG,l1,"[0.30337033 0.01322365 0.01309014 0.11877327 0.23502403 0.07234573
 0.04179148 0.04064864 0.01595283 0.14881578 0.9036562  0.0188799
 0.03979341 0.09755273 1.         0.04566441 0.0396628  0.03513106
 0.18605623 0.14424334 0.02900326 0.0399932  0.04396236 0.01496675
 0.04741528 0.04157437 0.04303376]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01770393\ILSVRC2012_val_00033658.JPEG,l1,"[0.54683906 0.03278979 0.01379446 0.1305748  0.47672284 0.26214844
 0.0422493  0.06296094 0.02246582 1.         0.68687844 0.01967681
 0.04673298 0.5633199  0.18819873 0.04591958 0.04207893 0.04627757
 0.2455142  0.766218   0.05700457 0.04175272 0.05453134 0.07740999
 0.05026565 0.04524365 0.0467225 ]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01770393\ILSVRC2012_val_00043619.JPEG,l1,"[0.94005233 0.00991712 0.00182086 0.71812207 0.9704545  0.8919651
 0.00526466 0.0046108  0.2020724  0.9384221  0.82090443 0.00377998
 0.0043128  0.92805946 1.         0.00572307 0.00563577 0.00206622
 0.7956113  0.9885526  0.47738293 0.00558501 0.00685705 0.57901156
 0.00612222 0.00606426 0.00497366]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01770393\ILSVRC2012_val_00046299.JPEG,l1,"[0.16492079 0.00312307 0.00203868 0.00504071 0.5652494  0.1513818
 0.00630394 0.00642092 0.00356373 0.08333816 0.09937131 0.00697421
 0.00555422 0.00877845 1.         0.00655606 0.006106   0.00473095
 0.0496447  0.5148394  0.01715915 0.0061805  0.00656793 0.00258198
 0.00720237 0.00639782 0.0057573 ]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01774384\ILSVRC2012_val_00006437.JPEG,l1,"[8.8513964e-01 5.2916720e-03 9.3138614e-04 4.1747354e-02 9.9203408e-01
 2.2226290e-01 5.2306277e-04 8.9451845e-04 1.0114959e-01 1.0000000e+00
 1.7707787e-01 1.0562305e-03 7.0242002e-04 4.6875000e-01 2.1455213e-01
 5.2071584e-04 5.4286217e-04 1.6055933e-03 1.7015988e-01 9.6960074e-01
 4.1412818e-03 5.2833906e-04 1.9214932e-03 6.6797125e-01 5.2203896e-04
 5.2840827e-04 6.4403436e-04]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01774384\ILSVRC2012_val_00008718.JPEG,l1,"[8.8169950e-01 6.3133808e-03 1.1250507e-03 7.2800845e-04 1.0000000e+00
 6.3275299e-03 5.6209014e-04 6.4097432e-04 1.9729366e-03 8.6145425e-01
 7.4594820e-01 1.9349819e-03 7.0180860e-04 2.2182886e-02 1.2928791e-01
 5.8442343e-04 5.8411900e-04 9.7679626e-04 1.4197810e-02 9.3561649e-01
 3.2421344e-04 5.7643570e-04 8.7007898e-04 3.6572579e-03 6.8105047e-04
 5.6602276e-04 8.1456680e-04]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01774384\ILSVRC2012_val_00025455.JPEG,l1,"[0.43080735 0.87271535 0.05918844 0.0901208  0.6224209  0.7277451
 0.03471658 0.05789648 0.18778646 0.31747082 0.96360594 0.06361324
 0.04275014 0.95068455 0.06035289 0.03399906 0.03433175 0.06315028
 0.4530421  0.4170418  1.         0.03226166 0.11314591 0.5456809
 0.03329699 0.03572437 0.04735245]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01774384\ILSVRC2012_val_00025508.JPEG,l1,"[5.1733643e-01 3.6327618e-03 9.3387265e-04 3.8530499e-01 1.0000000e+00
 9.3060985e-02 4.8554127e-04 1.0919732e-03 2.0900986e-01 9.8180157e-01
 3.3771685e-01 1.3635831e-03 8.2579633e-04 9.4799179e-01 6.1404502e-01
 4.9159292e-04 5.8156275e-04 7.4108847e-04 8.4864688e-01 9.6547538e-01
 5.0154058e-03 5.5239332e-04 1.9137067e-03 2.7680984e-01 5.3149741e-04
 4.7609064e-04 6.7017780e-04]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01774750\ILSVRC2012_val_00032091.JPEG,l1,"[1.0000000e+00 6.0663100e-02 2.9678101e-04 9.0183634e-03 8.7410994e-02
 1.3516706e-01 9.1379852e-04 1.9353017e-03 6.3872435e-03 5.5037493e-01
 2.1122687e-01 4.2819337e-04 2.3115273e-03 1.6314227e-02 1.4886848e-02
 8.5410662e-04 9.9498243e-04 4.0910169e-03 1.9080075e-02 4.2142165e-01
 5.9562866e-02 8.8256266e-04 2.5957404e-03 4.4229962e-02 9.4313064e-04
 9.5687254e-04 1.0734709e-03]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01774750\ILSVRC2012_val_00045733.JPEG,l1,"[1.00000000e+00 1.29389968e-02 4.12043853e-04 6.77493289e-02
 2.76222169e-01 2.55109102e-01 1.28039182e-03 1.63366890e-03
 5.63098467e-04 7.19016790e-01 7.51894265e-02 6.55216863e-04
 1.88237603e-03 1.16537493e-02 1.94907770e-01 1.31751050e-03
 1.22113188e-03 1.14481291e-03 4.88761365e-02 7.45357811e-01
 1.23393804e-01 1.25643506e-03 2.76201451e-03 2.53032846e-03
 1.22644217e-03 1.29124965e-03 1.17925508e-03]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01774750\ILSVRC2012_val_00048505.JPEG,l1,"[0.16076475 0.0041913  0.0019934  0.01754399 0.3547158  0.04283343
 0.00623469 0.00638054 0.01064304 0.04752078 0.08285353 0.00166589
 0.00637149 0.0217333  0.02920078 0.00599477 0.0057961  0.00778429
 0.03532768 1.         0.00570922 0.00635719 0.00745301 0.02695487
 0.00657274 0.00660203 0.00821433]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01784675\ILSVRC2012_val_00014858.JPEG,l1,"[1.         0.04554604 0.06026328 0.09819718 0.1977928  0.07542966
 0.1663291  0.1618766  0.06342801 0.33786032 0.25730994 0.06408507
 0.13408554 0.08275126 0.00429484 0.1622801  0.17909089 0.03092014
 0.2017175  0.28990528 0.15891756 0.16943143 0.15883854 0.06850564
 0.1469906  0.16492084 0.11076719]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01784675\ILSVRC2012_val_00020456.JPEG,l1,"[1.         0.01753034 0.01337384 0.0330376  0.1576902  0.05847224
 0.03077282 0.04324352 0.00600751 0.66724694 0.0982447  0.01287528
 0.02842439 0.06941399 0.11160756 0.03241977 0.03955328 0.00997763
 0.07405616 0.12027989 0.02226587 0.03337727 0.03482698 0.11651452
 0.03304171 0.03428669 0.02492901]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01784675\ILSVRC2012_val_00022081.JPEG,l1,"[0.38938987 0.08335224 0.03295283 0.24045119 0.6779998  0.23645659
 0.08074179 0.12113823 0.04797801 1.         0.07448224 0.04235182
 0.10762221 0.300383   0.26618317 0.07533649 0.09217256 0.07752846
 0.19045313 0.40437576 0.24658784 0.07901386 0.12382759 0.09726723
 0.0761465  0.07740006 0.08584972]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01784675\ILSVRC2012_val_00038504.JPEG,l1,"[0.05723478 0.01606326 0.02287329 0.07562206 1.         0.01891039
 0.05529607 0.06583723 0.01880518 0.09966715 0.02903524 0.09230621
 0.05747865 0.15167837 0.06008779 0.05856497 0.05172115 0.0581064
 0.09557188 0.10525475 0.01355966 0.05420092 0.08385804 0.05814604
 0.05545115 0.05315367 0.06496619]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01784675\ILSVRC2012_val_00038833.JPEG,l1,"[9.9795991e-01 4.6383461e-01 8.7511784e-04 8.0161504e-03 9.7879189e-01
 1.0000000e+00 2.0863304e-03 3.2773751e-03 1.9487651e-03 7.8722185e-01
 8.8928121e-01 7.3536928e-04 2.4135129e-03 8.2177229e-02 7.4793696e-01
 1.9220770e-03 2.1520683e-03 1.2504321e-03 1.2700106e-01 9.3282914e-01
 8.2822102e-01 2.1036251e-03 3.5911398e-03 3.6571831e-02 2.1698703e-03
 1.9459507e-03 3.0599777e-03]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01855672\ILSVRC2012_val_00004235.JPEG,l1,"[0.30837613 0.00423091 0.0106818  0.01413138 0.07814661 0.00406181
 0.00343891 0.0042982  0.01047299 1.         0.04473866 0.01242975
 0.00346143 0.06943997 0.08790426 0.00365324 0.00382787 0.0036579
 0.04059692 0.8230322  0.00456623 0.00362044 0.00356365 0.02988007
 0.00422204 0.00369235 0.00379047]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01855672\ILSVRC2012_val_00009610.JPEG,l1,"[0.19369514 0.014871   0.00588364 0.02050416 0.45411596 0.00645058
 0.00164839 0.00253839 0.00530105 0.73374206 1.         0.0058259
 0.00278855 0.03318378 0.14778562 0.00194463 0.00193593 0.00298119
 0.03659837 0.45210963 0.01128534 0.00176219 0.0038397  0.02086737
 0.00230274 0.00171395 0.00174445]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01855672\ILSVRC2012_val_00025256.JPEG,l1,"[0.13513154 0.10354262 0.01701803 0.03565039 0.32217693 0.09240501
 0.00627076 0.00589165 0.01502532 1.         0.0294142  0.04267686
 0.00577224 0.04661107 0.0637909  0.0062647  0.00571925 0.00872311
 0.08592506 0.23520939 0.1326729  0.00548017 0.01077747 0.0611033
 0.00651342 0.00676069 0.00445958]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01855672\ILSVRC2012_val_00032295.JPEG,l1,"[2.3331165e-01 4.8863183e-04 1.2724947e-03 1.5632059e-02 3.8346928e-01
 8.5472973e-04 3.6746942e-04 9.4041351e-04 4.5043726e-02 4.4784856e-01
 3.4114107e-01 1.1878959e-03 1.0344211e-03 3.9882186e-01 9.6712172e-02
 4.1423185e-04 4.3105340e-04 1.0394534e-03 9.2669410e-01 1.0000000e+00
 7.8084436e-04 3.9090222e-04 1.1633311e-03 2.9218420e-01 5.0843204e-04
 3.8895590e-04 7.4611959e-04]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01882714\ILSVRC2012_val_00023031.JPEG,l1,"[0.30242643 1.         0.00404604 0.01027102 0.00346794 0.11072263
 0.00181588 0.00195893 0.23207512 0.04088751 0.17041191 0.00962067
 0.00193299 0.01872208 0.02428789 0.001953   0.001609   0.00489239
 0.0836924  0.00215655 0.03494804 0.00169579 0.00175708 0.04327694
 0.0018838  0.00203392 0.00232784]"
